"","Player","Team","Position","GP","TOI","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","HDCF","HDCA","HDCF%","HDGF","HDGA","HDGF%","On-Ice SH%","On-Ice SV%","PDO","Off. Zone Starts","Neu. Zone Starts","Def. Zone Starts","On The Fly Starts","Off. Zone Start %","Off. Zone Faceoffs","Neu. Zone Faceoffs","Def. Zone Faceoffs","Off. Zone Faceoff %"
"126","Blake Coleman","N.J, T.B","C","216","531.58333333333","206","774","21.02","186","581","24.25","148","418","26.15","16","56","22.22","13","52.08","19.98","110","400","21.57","59","143","29.21","11","28","28.21","10.81","86.60","0.974","13","53","363","303","3.46","26","81","524","4.73"
"27","Travis Zajac","N.J","C","204","514.88333333333","191","734","20.65","167","548","23.36","131","390","25.14","13","53","19.70","10.96","48.47","18.44","98","386","20.25","48","135","26.23","11","22","33.33","9.92","86.41","0.963","7","53","408","244","1.69","14","82","577","2.37"
"145","Luke Glendening","DET","C, R","200","505.63333333333","138","933","12.89","124","719","14.71","112","514","17.89","11","64","14.67","8.56","65.86","11.50","68","456","12.98","39","229","14.55","9","39","18.75","9.82","87.55","0.974","8","37","445","271","1.77","16","67","607","2.57"
"70","Jay Beagle","VAN, WSH","C","188","489.41666666667","92","882","9.45","87","645","11.89","77","473","14.00","5","55","8.33","4.16","59.59","6.53","36","482","6.95","16","197","7.51","3","23","11.54","6.49","88.37","0.949","8","51","388","294","2.02","17","83","532","3.10"
"107","Riley Sheahan","DET, EDM, FLA, PIT","C","220","474.93333333333","118","782","13.11","107","573","15.74","92","426","17.76","7","43","14.00","5.59","50.76","9.92","48","381","11.19","24","159","13.11","4","22","15.38","7.61","89.91","0.975","13","52","372","324","3.38","24","82","469","4.87"
"68","Lars Eller","WSH","C","224","468.55","117","739","13.67","101","522","16.21","85","363","18.97","4","51","7.27","5.54","47.27","10.48","54","379","12.47","25","156","13.81","3","27","10.00","4.71","85.95","0.907","5","55","336","276","1.47","8","75","421","1.86"
"168","Connor Brown","OTT, TOR","R","227","459.46666666667","101","746","11.92","97","567","14.61","73","400","15.43","9","58","13.43","5.96","49.76","10.69","52","380","12.04","27","149","15.34","5","31","13.89","12.33","85.50","0.978","11","58","257","477","4.10","17","81","329","4.91"
"133","Matt Nieto","COL","L","199","456.5","115","804","12.51","104","584","15.12","93","432","17.71","11","54","16.92","5.92","48.54","10.88","51","365","12.26","21","145","12.65","6","21","22.22","11.83","87.50","0.993","6","62","239","347","2.45","14","90","309","4.33"
"67","Carl Hagelin","L.A, PIT, WSH","L","190","455.05","110","655","14.38","95","474","16.70","83","355","18.95","2","42","4.55","4.26","46.2","8.45","45","354","11.28","16","155","9.36","2","24","7.69","2.41","88.17","0.906","7","53","339","289","2.02","18","75","451","3.84"
"64","Colton Sceviour","FLA","C","197","453.26666666667","143","782","15.46","130","580","18.31","113","432","20.73","4","58","6.45","6.86","52.74","11.50","64","375","14.58","27","165","14.06","2","28","6.67","3.54","86.57","0.901","14","56","344","268","3.91","23","89","450","4.86"
"109","Zach Hyman","TOR","C, L","197","450.23333333333","115","788","12.74","89","597","12.97","73","416","14.93","4","45","8.16","5.06","49.59","9.26","53","411","11.42","18","156","10.34","3","21","12.50","5.48","89.18","0.947","8","56","358","240","2.19","15","74","521","2.80"
